src_ip,dst_ip,protocol,packet_length,src_port,dst_port
0.0.0.0,255.255.255.255,17,342,68,67
169.254.50.103,224.0.0.22,2,54,0,0
169.254.50.103,224.0.0.22,2,54,0,0
169.254.50.103,224.0.0.22,2,54,0,0
169.254.50.103,224.0.0.22,2,54,0,0
169.254.50.103,224.0.0.252,17,75,56164,5355
169.254.50.103,224.0.0.22,2,54,0,0
169.254.50.103,169.254.255.255,17,110,137,137
169.254.50.103,169.254.255.255,17,110,137,137
169.254.50.103,169.254.255.255,17,110,137,137
169.254.50.103,224.0.0.252,17,75,56164,5355
169.254.50.103,224.0.0.22,2,70,0,0
10.10.1.26,224.0.0.251,17,102,5353,5353
10.10.1.26,224.0.0.251,17,102,5353,5353
10.10.1.26,224.0.0.251,17,103,5353,5353
